cord_uid,doi,title,data_availability_statement,das_section,das_location
bbupvms3,10.1186/s12931-020-1287-4,Neuromuscular blocking agents for acute respiratory distress syndrome: an updated meta-analysis of randomized controlled trials,All data generated or analyzed during the present study are included in this published article and its supplementary information files.Ethics approval and consent to participate An approval by an ethics committee was not applicable.,Availability of data and materials,back_matter
hceyy9w7,10.1186/s13054-020-2765-2,Validation of neuromuscular blocking agent use in acute respiratory distress syndrome: a meta-analysis of randomized trials,The datasets used and/or analyzed during the current study are available from the corresponding author upon reasonable request.Ethics approval and consent to participate Not applicable,Availability of data and materials,back_matter
p3mb7r0v,10.1186/s13643-020-01401-x,Predicting the treatment response of certolizumab for individual adult patients with rheumatoid arthritis: protocol for an individual participant data meta-analysis,"The data that support the findings of this study are available from http://vivli. org but restrictions apply to the availability of these data, which were used under license for the current study, and so are not publicly available. Data are however available from http://vivli.org upon reasonable request and application, after their permission.",Availability of data and materials,back_matter
zer1m4b6,10.1186/s12913-020-05903-1,Incident reports involving hospital administrative staff: analysis of data from the Japan Council for Quality Health care nationwide database,We used JCQHC open data. The datasets used and/or analyzed during the current study are available from the corresponding author upon reasonable request.,Availability of data and materials,back_matter
41i9h3vq,10.1186/s12931-020-01574-y,The efficacy of mesenchymal stromal cell-derived therapies for acute respiratory distress syndrome—a meta-analysis of preclinical trials,The datasets used and/or analysed in this study are available from the corresponding author upon reasonable request.,Availability of data and materials,body_text
q7dwp3ow,10.3389/fpsyg.2021.582421,How I See Me—A Meta-Analysis Investigating the Association Between Identities and Pro-environmental Behaviour,"The original contributions presented in the study are included in the article/Supplementary Material, further enquiries can be directed to the corresponding author/s. The dataset and analysis script can be found at: https://osf.io/q7kc4/.",Data Availability Statement,body_text
84q3nh4y,10.1186/s12879-021-06064-0,"Diagnostic value of neutrophil CD64, procalcitonin, and interleukin-6 in sepsis: a meta-analysis",All relevant data supporting the conclusion of this study are included within the paper.,Availability of data and materials,back_matter
jpmwiqqz,10.1007/s00246-021-02644-8,Transfusion Strategies for Pediatric Cardiac Surgery: A Meta-Analysis and Trial Sequential Analysis,"The datasets generated and analyzed during the current study are available from the corresponding author on reasonable request.
Code Availability Not applicable.",Data Availability,body_text
nspxfgl0,10.1186/s13019-021-01634-4,Liberal or conservative oxygen therapy for ventilated patients in the ICU: a meta-analysis of randomized controlled trials,The datasets used and/or analyzed during the current study are available from the corresponding author on reasonable request.,Availability of data and materials,back_matter
s92dqw28,10.1093/database/baab065,HBFP: a new repository for human body fluid proteome,"All proteins can be easily accessed by searching protein ID, gene name,
protein sequence (FASTA) or gene sequence (FASTA) (<50 items per
query) (Figure 4A and B as an
example). A BLAST (182) is performed
locally to find the best match when the sequence FASTA format is given. For
each protein, detailed information is displayed (Figure 4C). Users can connect directly to the PubMed or
Google Scholar to view the original study through the provided links. Four
databases (UniProt, PeptideAtlas, NeXtProt and MassIVE) are cross-linked for
additional protein annotation, while the KEGG pathway and GO are focused on
the functional aspects (Figure 4D).
HBFP allows users to browse the entire protein list in each body fluid, where
the proteins are ordered based on descending confidence scores. Users can
check and download all entries of the selected body fluid type in one go, as
shown in Figure 5.",Query ::: Data access ::: Database applications; Download ::: Data access ::: Database applications,body_text
owy8a5m8,10.1186/s40560-021-00578-0,Efficacy of probiotics in the prevention of diarrhea in ventilated critically ill ICU patients: meta-analysis of randomized control trials: author’s reply,Available with the corresponding author.,Availability of data and materials,back_matter
9cw9fz3j,10.1186/s40560-021-00567-3,Efficacy of probiotics in the prevention of diarrhea in ventilated critically ill ICU patients: meta-analysis of randomized control trials,Not applicable.,Availability of data and materials,back_matter
qnkqfou0,10.1093/nar/gkab1083,MODOMICS: a database of RNA modification pathways. 2021 update,The data are accessible freely for research purposes at https://iimcb.genesilico.pl/modomics/.,DATA AVAILABILITY,body_text
ttnhuj8n,10.1093/nar/gkab986,RPS: a comprehensive database of RNAs involved in liquid–liquid phase separation,RPS is a comprehensive online database available at http://rps.renlab.org.,DATA AVAILABILITY,body_text
w2t0b1ef,10.3390/cells11010091,Current Status and Future Perspectives on Machine Perfusion: A Treatment Platform to Restore and Regenerate Injured Lungs Using Cell and Cytokine Adsorption Therapy,No new data were created or analyzed in this study. Data sharing is not applicable.,Data Availability Statement:,body_text
f0s6baik,10.3389/fmed.2021.814566,A Simple Weaning Model Based on Interpretable Machine Learning Algorithm for Patients With Sepsis: A Research of MIMIC-IV and eICU Databases,Publicly available datasets were analyzed in this study. This data can be found here: https://physionet.org/about/database/.,Data Availability Statement,body_text
k3nz41kc,10.1093/nargab/lqac005,HKG: an open genetic variant database of 205 Hong Kong cantonese exomes,HKG is publicly available in the European Variation Archive (EVA) under study number PRJEB41688 (https://www.ebi.ac.uk/ena/browser/view/PRJEB41688). The genotype imputation can be freely performed at the HKG imputation server for the academic purpose at http://www.bio8.cs.hku.hk/HKGimputationServer. The scripts used in this study are available at https://github.com/HKU-BAL/HKG.,DATA AVAILABILITY,body_text
a92wzmd1,10.1016/j.heliyon.2022.e08911,Drivers of digital transformation adoption: A weight and meta-analysis,No data was used for the research described in the article.,Data availability statement ::: Declarations,body_text
nmfkoyvn,10.1155/2022/2671343,The Improvement of Cardiac and Endothelial Functions of Xue-Fu-Zhu-Yu Decoction for Patients with Acute Coronary Syndrome: A Meta-Analysis of Randomized Controlled Trials,All the data generated or analyzed during this study are included in this published article and its additional files.,Data Availability,back_matter
