name,homepage,description,status,abbreviation,countries,year_created,funder,funder_type,contact_name,contact_email,data_access_condition,publications
Antibody Registry,https://antibodyregistry.org/,"The Antibody Registry exists to give researchers a way to universally identify antibodies used in publications. The registry lists many commercial antibodies from about 200 vendors which have each been assigned a unique identifier. If the antibody that you are using does not appear in the list, an entry can be made by filling in as little as 2 pieces of information: the catalog number and the url of the vendor where our curators can find information and material data sheets. Many optional fields can also be filled in that will help curators identify the reagent. After submitting an antibody, you are given a permanent identifier that can be used in publications. This identifier even if it is later found to be a duplicate, can be quickly traced back in the antibody registry. We never delete records, but we collapse duplicate entries on a regular basis (the old identifiers are kept to help with search).",ready,,United States,2009,"National Institutes of Health (NIH) Blueprint for Neuroscience Research, Bethesda, MD, USA",Government body,Anita Bandrowski,abandrowski@ucsd.edu,open,10.1038/nmeth.2570; 10.1093/nar/gkac927
BioData.pt Data Management Portal,https://dmportal.biodata.pt/,"The BioData.pt Data Management Portal (DMPortal) was created to share, preserve, cite, explore and analyze research data, and implements several domain-specific metadata standards such as MIAPPE, which the BioData.pt Plant Sciences Community co-developed together with its ELIXIR collaborators.
DMPortal mints Digital object identifiers (DOIs) for the submitted datasets via DataCite, in a partnership with the Scientific Computing Unit of the Fundação para a Ciência e a Tecnologia (FCT-FCCN). 
",ready,DMPortal,Portugal,2020,,,DMPortal Team,dmportal@biodata.pt,open,
Canadian VirusSeq Data Portal,https://virusseq-dataportal.ca/,"The goal of the CanCOGeN VirusSeq project is to sequence up to 150,000 viral samples from Canadians testing positive for COVID-19. The VirusSeq Data Portal is an open-source and open-access data portal for all Canadian SARS-CoV-2 sequences and associated non-personal contextual data. It harmonizes, validates and automates submission to international databases.
",ready,CVDP,Canada,2022,"Genome Canada, Canada; Government of Canada",Government body,General contact,info@virusseq-dataportal.ca,open,
Translational Data Catalog,https://datacatalog.elixir-luxembourg.org/,"The Translational Data Catalog is a collection of project-level metadata from large research initiatives such as IMI and H2020 in a diverse range of fields, including clinical, molecular and observational studies. Its aim is to improve the findability of these projects following FAIR data principles. The Data Catalog uses a variety of web-based software to enable remote, interactive data-mining such that important metadata and summaries of curated studies can be displayed. ",ready,IMI Data Catalog,Luxembourg,2016,ELIXIR Luxembourg; European Commision,Government body; Undefined,General contact,data-catalog@elixir-luxembourg.org,open,
BioExcel - Covid19,https://bioexcel-cv19.bsc.es/#/,BioExcel-CV19 is a platform designed to provide web-access to atomistic-MD trajectories for macromolecules involved in the COVID-19 disease.,ready,,Spain,2020,Human Brain Project; BioExcel CoE; EBRAINS AISBL; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon Europe,Government body; Consortium,Dani Beltrán,daniel.beltran@irbbarcelona.org,open,10.1093/nar/gkad991
BBMRI-ERIC Directory,https://directory.bbmri-eric.eu/,"The BBMRI-ERIC Directory is a tool to share aggregate information about biobanks across Europe. The Directory welcomes new biobanks to join and publish information about themselves, including their contact information in the directory. The BBMRI-ERIC Directory can help researchers find relevant biobanks, get their contact information and identify appropriate infrastructure for the storage of samples for research purposes.",ready,,"Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Estonia, Finland, Germany, Greece, Hungary, Italy, Latvia, Lithuania, Malta, Netherlands, Norway, Poland, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom, European Union",2015,,,Petr Holub,petr.holub@bbmri-eric.eu,open,10.1089/bio.2016.0088
WorkflowHub,https://workflowhub.eu,"The WorkflowHub is a registry of scientific workflows.  WorkflowHub aims to facilitate discovery and re-use of workflows in an accessible and interoperable way. This is achieved through extensive use of open standards and tools, including CWL, RO-Crate, Bioschemas and GA4GH's TRS API, in accordance with the FAIR principles. WorkflowHub supports workflows of any type in its native repository. ",ready,,"Belgium, United Kingdom",2020,"ERANET proposal Systems Biology Applications; Biotechnology and Biological Sciences Research Council; The Swiss Initiative in Systems Biology (SystemsX.ch), Zurich, Switzerland; ELIXIR Europe; Netherlands Organisation for Scientific Research; EOSC-Life; FAIRDOM; European Commission Horizon 2020; Federal Ministry of Education and Research; BY-COVID (BeYond COVID) Project; EuroScience Gateway; German Network for Bioinformatics Infrastructure; IBISBA; AgroServ",Government body; Consortium; Research institute,Finn Bacall,finn.bacall@manchester.ac.uk,open,https://doi.org/10.48550/arXiv.2410.06941; 10.1038/s41597-025-04786-3
Image Data Resource ,https://idr.openmicroscopy.org,"The Image Data Resource (IDR) is a public repository of image datasets from published scientific studies, where the community can submit, search and access high-quality bio-image data. It follows the Euro-BioImaging/ELIXIR imaging strategy using the OMERO and Bio-Formats open source software built by the Open Microscopy Environment. Deployed on an OpenStack cloud running on the EMBL-EBI’s Embassy resource, it includes image data linked to independent studies from genetic, RNAi, chemical, localisation and geographic high content screens, super-resolution microscopy, and digital pathology.",ready,IDR,United Kingdom,2015,European Commission Horizon 2020; Biotechnology and Biological Sciences Research Council; EOSC-Life; European Commission Horizon 2020; The Wellcome Trust; Biotechnology and Biological Sciences Research Council,Charitable foundation; Government body; Consortium,Josh Moore; Sébastien Besson; General Contact,j.a.moore@dundee.ac.uk; s.besson@dundee.ac.uk; idr@openmicroscopy.org,open,10.1038/nmeth.4326
bio.tools,https://bio.tools/,bio.tools is a registry of information about bioinformatics software and data services. It was created to help researchers in biological and biomedical science to find and use such resources.,ready,,Denmark,2015,"Horizon 2020 Programme of the European Union - EXCELERATE; The Ministry of Higher Education and Science, Copenhagen, Denmark",Government body,Support Email,registry-support@elixirmail.cbs.dtu.dk,open,10.1093/nar/gkv1116
Medical Imaging and Data Resource Center,https://www.midrc.org/,"Representatives of the American College of Radiology® (ACR®), the Radiological Society of North America (RSNA), and the American Association of Physicists in Medicine (AAPM) have jointly developed the  Medical Imaging and Data Resource Center (MIDRC) for rapid and flexible collection, artificial intelligence analysis, and dissemination of imaging and associated data. MIDRC is hosted at the University of Chicago. 
",ready,MIDRC,United States,2021,National Institute of Biomedical Imaging and Bioengineering,Undefined,Maryellen L. Giger,l332@uchicago.edu,open,10.1016/S2589-7500(22)00063-2
