name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score,_norm_name,_norm_abbreviation,_norm_domain,_match_type,_matched_to
AccessClinicalData@NIAID,,https://accessclinicaldata.niaid.nih.gov/,5584,10.25504/FAIRsharing.40d9e9,"AccessClinicalData@NIAID is a NIAID cloud-based, controlled access, secure data platform that enables sharing of and access to reports and data sets from NIAID COVID-19 and other sponsored clinical trials for the basic and clinical research community.",ready,repository,United States,,National Institutes of Health,Government body,"National Institute of Allergy and Infectious Diseases, National Institutes of Health",Government body,,,controlled,open,,,,,,,document; dataset,Clinical Studies,COVID-19,,,accessclinicaldata@niaid,,accessclinicaldata.niaid.nih.gov,,
Addgene,Addgene,https://www.addgene.org/,1738,10.25504/FAIRsharing.8hcczk,"Addgene is a non-profit plasmid repository dedicated to helping scientists around the world share high-quality plasmids. Addgene are working with thousands of laboratories to assemble a high-quality library of published plasmids for use in research and discovery. By linking plasmids with articles, scientists can always find data related to the materials they request.",ready,repository,United Kingdom; United States,2004,Addgene,Company,Addgene,Company,General Contact Email,info@addgene.org,open,open,,Addgene Technology Transfer agreement; Addgene Terms of Use,http://www.addgene.org/techtransfer/; https://www.addgene.org/terms-of-use/,,,https://www.re3data.org/repository/r3d100010741; https://scicrunch.org/resolver/RRID:SCR_002037,dataset; image,Life Science,COVID-19,10.1038/nbt.2177; 10.1038/505272a; 10.1093/nar/gku893,,addgene,addgene,addgene.org,,
Alliance of Genome Resources,,https://www.alliancegenome.org,2530,10.25504/FAIRsharing.6ba5fw,"The primary mission of the Alliance of Genome Resources (the Alliance) is to develop and maintain sustainable genome information resources that facilitate the use of diverse model organisms in understanding the genetic and genomic basis of human biology, health and disease.",ready,knowledgebase,United Kingdom; United States,2017,"National Human Genome Research Institute (NHGRI), Bethesda, MD, USA; National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,Alliance of Genome Resources Consortium,Consortium,General Contact,help@alliancegenome.org,open,not applicable,,"Alliance of Genome Resources Privacy, Warranty and Licensing; Creative Commons Attribution 4.0 International (CC BY 4.0)",https://www.alliancegenome.org/privacy-warranty-licensing; https://creativecommons.org/licenses/by/4.0/,,,,dataset,Genomics,COVID-19,10.1093/nar/gkz813; 10.1534/genetics.119.302523,,alliance of genome resources,,alliancegenome.org,,
Antibody Registry,,https://antibodyregistry.org/,1725,10.25504/FAIRsharing.3wdd17,"The Antibody Registry exists to give researchers a way to universally identify antibodies used in publications. The registry lists many commercial antibodies from about 200 vendors which have each been assigned a unique identifier. If the antibody that you are using does not appear in the list, an entry can be made by filling in as little as 2 pieces of information: the catalog number and the url of the vendor where our curators can find information and material data sheets. Many optional fields can also be filled in that will help curators identify the reagent. After submitting an antibody, you are given a permanent identifier that can be used in publications. This identifier even if it is later found to be a duplicate, can be quickly traced back in the antibody registry. We never delete records, but we collapse duplicate entries on a regular basis (the old identifiers are kept to help with search).",ready,repository,United States,2009,"National Institutes of Health (NIH) Blueprint for Neuroscience Research, Bethesda, MD, USA",Government body,Neuroscience Information Framework (NIF),Consortium,Anita Bandrowski,abandrowski@ucsd.edu,open,open,"if all else fails, the data licensed at CC-0 will be archived in Zenodo, the University of California San Diego Data Repository, and the California Digital Library. Current data are stored within Google Cloud Platform designed to provide 99.999999999% annual durability; automated database backups happen every hour on dedicated GCP volumes and once a day as GCP volume snapshots; Data is permanently archived in a third party archival system to ensure long term data preservation.",Antibody Registry Terms of Use; Creative Commons Attribution 3.0 Unported (CC BY 3.0); Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://antibodyregistry.org/terms-and-conditions; https://creativecommons.org/licenses/by/3.0/; https://creativecommons.org/publicdomain/zero/1.0/,,,https://www.re3data.org/repository/r3d100010408; https://scicrunch.org/resolver/RRID:SCR_006397,dataset,Biomedical Science,COVID-19,10.1038/nmeth.2570; 10.1093/nar/gkac927,,antibody registry,,antibodyregistry.org,,
Arca Dados,,https://arcadados.fiocruz.br/,5829,10.25504/FAIRsharing.efc718,"Arca Dados is Fiocruz's official research data repository. Its mission is to be the platform for archiving, publishing, disseminating, preserving and sharing digital research data produced by the Fiocruz community and/or in partnership with other research institutes or bodies, following the FAIR principles.",ready,repository,Brazil,2019,,,Fundação Oswaldo Cruz,Government body,Vanessa Jorge,vanessa.jorge@fiocruz.br,partially open,controlled,,Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),https://creativecommons.org/licenses/by-nc/4.0/,,,https://www.re3data.org/repository/r3d100013904,dataset; image,Tropical Medicine; Clinical Studies; Health Services Research; Medical Informatics; Microbiology; Public Health; Social Science; Health Science; Medicine; Parasitology; Primary Health Care; Global Health; Infectious Disease Medicine; Humanities and Social Science; History of Science,COVID-19; tropical disease,,,arca dados,,arcadados.fiocruz.br,,
BBMRI-ERIC Directory,,https://directory.bbmri-eric.eu/,2857,10.25504/FAIRsharing.q9VUYM,"The BBMRI-ERIC Directory is a tool to share aggregate information about biobanks across Europe. The Directory welcomes new biobanks to join and publish information about themselves, including their contact information in the directory. The BBMRI-ERIC Directory can help researchers find relevant biobanks, get their contact information and identify appropriate infrastructure for the storage of samples for research purposes.",ready,repository,Austria; Belgium; Bulgaria; Cyprus; Czech Republic; Estonia; Finland; Germany; Greece; Hungary; Italy; Latvia; Lithuania; Malta; Netherlands; Norway; Poland; Slovenia; Spain; Sweden; Switzerland; Turkey; United Kingdom; European Union,2015,,,"BBMRI-ERIC national nodes, Graz, Austria; BBMRI-ERIC; Biobanking and Biomolecular Resources Research Infrastructure (BBMRI), The Netherlands",Consortium; Undefined,Petr Holub,petr.holub@bbmri-eric.eu,open,controlled,,,,,,https://www.re3data.org/repository/r3d100013028,dataset; other object type; software source code,Life Science; Human Biology; Health Science,COVID-19,10.1089/bio.2016.0088,,bbmri-eric directory,,directory.bbmri-eric.eu,,
BioData.pt Data Management Portal,DMPortal,https://dmportal.biodata.pt/,4475,10.25504/FAIRsharing.b2f583,"The BioData.pt Data Management Portal (DMPortal) was created to share, preserve, cite, explore and analyze research data, and implements several domain-specific metadata standards such as MIAPPE, which the BioData.pt Plant Sciences Community co-developed together with its ELIXIR collaborators.
DMPortal mints Digital object identifiers (DOIs) for the submitted datasets via DataCite, in a partnership with the Scientific Computing Unit of the Fundação para a Ciência e a Tecnologia (FCT-FCCN). 
",ready,repository,Portugal,2020,,,BioData.pt,Consortium,DMPortal Team,dmportal@biodata.pt,open,open,,,,,,,document; publication; dataset,Life Science; Plant Genetics; Soil Science; Human Genetics; Microbiology; Human Biology; Medical Microbiology; Plant Cell Biology; Medical Physics,COVID-19,,,biodata.pt data management portal,dmportal,dmportal.biodata.pt,,
BioExcel - Covid19,,https://bioexcel-cv19.bsc.es/#/,4617,10.25504/FAIRsharing.ebef25,BioExcel-CV19 is a platform designed to provide web-access to atomistic-MD trajectories for macromolecules involved in the COVID-19 disease.,ready,repository,Spain,2020,Human Brain Project; BioExcel CoE; EBRAINS AISBL; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon 2020; European Commission Horizon Europe,Government body; Consortium,"Barcelona Supercomputing Center (BSC), Barcelona, Spain; Institute for Research in Biomedicine",Government body,Dani Beltrán,daniel.beltran@irbbarcelona.org,open,controlled,,Creative Commons Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,,,,dataset; image,Virology; Molecular Dynamics,COVID-19,10.1093/nar/gkad991,,bioexcel - covid19,,bioexcel-cv19.bsc.es,,
Biofactoid,Biofactoid,https://biofactoid.org/,4774,10.25504/FAIRsharing.0ede01,"Biofactoid (biofactoid.org) helps authors share a searchable representation of their interactions (e.g. binding, gene expression, post-translational modification) between genes or gene products, as well as chemicals. This information, with author attribution, is shared in social media and public databases, such as Pathway Commons, where it can be discovered and analyzed in the context of a large and growing corpus of knowledge. Biofactoid (biofactoid.org) is a public, academic project between groups at Harvard University, University of Toronto and Oregon Health & Science University to help improve the way we share and search for research findings.",ready,knowledgebase,Canada; United States,2021,United States Defense Advanced Research Projects Agency; National Institute of General Medical Sciences; National Human Genome Research Institute,Government body,,,Jeffrey V Wong; Gary Bader,jeffvin.wong@utoronto.ca; gary.bader@utoronto.ca,open,open,,Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,,,,publication; dataset; image; model,Systems Biology; Molecular biology; Computational Biology; Biology; Genetics; Human Biology; Genomics,,10.7554/eLife.68292; 10.1093/nar/gkz946; 10.21105/joss.03756,,biofactoid,biofactoid,biofactoid.org,,
Biological General Repository for Interaction Datasets,BioGRID,http://www.thebiogrid.org,2028,10.25504/FAIRsharing.9d5f5r,"The Biological General Repository for Interaction Datasets (BioGRID) is a public database that archives and disseminates genetic and protein interaction data from model organisms and humans. BioGRID currently holds over 1,740,000 interactions curated from both high-throughput datasets and individual focused studies, as derived from over 70,000+ publications in the primary literature. Complete coverage of the entire literature is maintained for budding yeast (S. cerevisiae), fission yeast (S. pombe) and thale cress (A. thaliana), and efforts to expand curation across multiple metazoan species are underway. All data are freely provided via our search index and available for download in many standardized formats.",ready,knowledgebase,Canada; United States,2002,"National Library of Medicine (NLM), Bethesda, MD, USA; Canadian Institutes of Health Research (CIHR); National Institutes of Health Office of Research Infrastructure Programs",Government body,"University of Montreal, Canada; Samuel Lunenfeld Research Institute, Mount Sinai Hospital, Toronto M5G 1X5, Canada.; University of Edinburgh, UK; Princeton University, NJ, USA",Research institute; University,,biogridadmin@gmail.com,open,open,,BioGRID Terms and Conditions,https://wiki.thebiogrid.org/doku.php/terms_and_conditions,,,https://www.re3data.org/repository/r3d100010350; https://scicrunch.org/resolver/RRID:SCR_007393,dataset; model,Life Science; Cheminformatics; Systems Biology; Biochemistry; Chemical Biology; Bioinformatics; Proteomics,,10.1093/nar/gkj109; 10.1186/gb-2003-4-3-r23; 10.1002/pro.3978; 10.1093/nar/gky1079,,biological general repository for interaction datasets,biogrid,thebiogrid.org,,
BridgeDb,,https://bridgedb.github.io,2617,10.25504/FAIRsharing.5ry74y,"BridgeDb is a framework and data repository for finding and mapping equivalent identifiers from various databases. BridgeDb provides a framework, live services, and identifier mapping files for genes, gene-variant, proteins, metabolites and interactions.",ready,knowledgebase,Netherlands; United Kingdom; United States,2009,,,"University of Manchester; Heriot-Watt University, Edinburgh, United Kingdom; University of Missouri, USA; Department of Bioinformatics - BiGCaT, Maastricht University, Maastricht, the Netherlands; Gladstone Institute of Cardiovascular Disease, San Francisco, USA",Research institute; University,Egon Willighagen,egon.willighagen@maastrichtuniversity.nl,open,not applicable,,Apache License 2.0; Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication; EMBL-EBI Terms of Use,http://www.apache.org/licenses/LICENSE-2.0; https://creativecommons.org/publicdomain/zero/1.0/; http://www.ebi.ac.uk/about/terms-of-use,,,,other object type,Systems Biology; Metabolomics; Biology; Chemistry,COVID-19,10.1186/1471-2105-11-5,,bridgedb,,bridgedb.github.io,,
