name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score,_norm_name,_norm_abbreviation,_norm_domain,_is_duplicate,_match_type,_matched_to,filter_approach
 COVID-19 Data Repository,,https://www.openicpsr.org/openicpsr/covid19,4074,10.25504/FAIRsharing.eda566,"The COVID-19 Data Repository is a repository for data examining the social, behavioral, public health, and economic impact of the novel coronavirus global pandemic. This is a free self-publishing option for any researcher who wants to share data related to COVID-19. Deposits should include all data, annotated program code, command files, and documentation necessary to understand the data collection and/or replicate research findings.
",ready,repository,United States,2022,,,"Regents of the University of Michigan, USA",Undefined,,,open,open,,openICPSR Privacy Policy,https://www.openicpsr.org/openicpsr/privacy,,,,dataset,Economics; Public Health; Social Science,COVID-19,,,covid-19 data repository,,openicpsr.org,True,url,Inter-university Consortium for Political and Social Research COVID-19 Data Repository,keyword
American Society of Clinical Oncology (ASCO) Survey on COVID-19 in Oncology Registry,ASCO Registry,https://old-prod.asco.org/covid-resources/asco-registry,3223,10.25504/FAIRsharing.BIZ2Nt,"The American Society of Clinical Oncology (ASCO) Survey on COVID-19 in Oncology Registry (ASCO Registry) aims to help the cancer community learn more about the patterns of symptoms and severity of COVID-19 among patients with cancer, as well as how COVID-19 is impacting the delivery of cancer care and patient outcomes. The ASCO Registry is designed to collect both baseline and follow-up data on how the virus impacts cancer care and cancer patient outcomes during the COVID-19 pandemic and into 2021.",deprecated,repository,United States,2020,,,"American Society of Clinical Oncology, USA",Consortium,General contact,CENTRA@asco.org,partially open,not applicable,,ASCO Terms of Use; Information Sharing Policy of American Society of Clinical Oncology,https://www.asco.org/about-asco/legal/terms-use; https://www.asco.org/sites/new-www.asco.org/files/content-files/research-and-progress/documents/6-2-2017-ASCO-Information-Sharing-Policy.pdf,,,,document; questionnaire/survey; dataset,Critical Care Medicine; Clinical Studies; Epidemiology; Oncology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,,,american society of clinical oncology (asco) survey on covid-19 in oncology registry,asco registry,old-prod.asco.org,True,fuzzy,american society of clinical oncology survey on covid-19 in oncology registry,keyword
Better Outcomes Registry & Network,BORN Ontario,https://www.bornontario.ca/en/index.aspx,4061,10.25504/FAIRsharing.424cb8,"Funded by the Government of Ontario, the Better Outcomes Registry & Network (BORN) is Ontario's prescribed perinatal, newborn and child registry with the role of facilitating quality care for families across the province. BORN collects, interprets, shares and rigorously protects high-quality data.
",ready,repository,Canada,2020,,,Children's Hospital of Eastern Ontario,Government body,COVID Inquiries; General Inquiries,covid@bornontario.ca; info@bornontario.ca,controlled,open,,BORN Data Privacy and Security,https://www.bornontario.ca/en/data/data-privacy-and-security.aspx?_mid_=3570,,,https://www.re3data.org/repository/r3d100013917,document; publication; dataset,Epidemiology; Obstetrics; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations; Pregnancy,,,better outcomes registry & network,born ontario,bornontario.ca,True,url,The Better Outcomes Registry & Network,keyword
BioModels,BioModels,https://www.ebi.ac.uk/biomodels/,1846,10.25504/FAIRsharing.paz6mh,BioModels is a repository of computational models of biological processes. It allows users to search and retrieve mathematical models published in the literature. Many models are manually curated (to ensure reproducibility) and extensively cross-linked to publicly available reference information.,ready,knowledgebase,Austria; Belgium; Croatia; Czech Republic; Denmark; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Israel; Italy; Lithuania; Luxembourg; Malta; Montenegro; Netherlands; Norway; Portugal; Slovakia; Spain; Sweden; Switzerland; United Kingdom,2005,"Biotechnology and Biological Sciences Research Council (BBSRC), UK; European Molecular Biology Laboratory (EMBL), Heidelberg, Germany; Innovative Medicines Initiative (IMI), Europe",Government body; Research institute; Consortium,"SBML Community; European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK; BBSRC Babraham Institute, Cambridge, UK",Government body; Research institute; Consortium,BioModels Team,biomodels-cura@ebi.ac.uk,open,open,,Biomodels Terms of Use; Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,http://www.ebi.ac.uk/biomodels-main/termsofuse; https://creativecommons.org/publicdomain/zero/1.0/,,,https://www.re3data.org/repository/r3d100010789; https://scicrunch.org/resolver/RRID:SCR_001993,publication; dataset; model,Life Science; Systems Biology,COVID-19,10.1093/nar/gkx1023; 10.1093/nar/gkj092; 10.1002/psp4.3; 10.1093/nar/gkz1055,,biomodels,biomodels,ebi.ac.uk,True,url,European Molecular Biology Laboratory-European Bioinformatics Institute Electron Microscopy Data Bank,keyword
BioSamples,BioSD,https://www.ebi.ac.uk/biosamples/,1554,10.25504/FAIRsharing.ewjdq6," The BioSamples database (https://www.ebi.ac.uk/biosamples/) at the European Bioinformatics Institute (EMBL-EBI) is a core infrastructure resource that provides a centralised platform for the storage, curation, and dissemination of biological sample metadata. BioSamples holds sample descriptions across diverse datasets, enhancing their reusability and integrability in accordance with the FAIR (Findable, Accessible, Interoperable, and Reusable) principles. It provides links to assays and specific samples, and accepts direct submissions of sample information.",ready,repository,Austria; Belgium; Croatia; Czech Republic; Denmark; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Israel; Italy; Lithuania; Luxembourg; Malta; Montenegro; Netherlands; Norway; Portugal; Slovakia; Spain; Sweden; Switzerland; United Kingdom,2010,European Commission; European Commission FP7,Government body,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK",Research institute,Support email,biosamples@ebi.ac.uk,open,open,,Apache License 2.0; EMBL-EBI Terms of Use,http://www.apache.org/licenses/LICENSE-2.0; http://www.ebi.ac.uk/about/terms-of-use,,,https://www.re3data.org/repository/r3d100012628; https://scicrunch.org/resolver/RRID:SCR_004856,physical object/material,Biology,COVID-19,10.1093/nar/gkt1081; 10.1093/nar/gkr937; 10.1093/nar/gky1061; 10.1093/nar/gkab1046; 10.1093/nar/gkaf1133,,biosamples,biosd,ebi.ac.uk,True,url,European Molecular Biology Laboratory-European Bioinformatics Institute Electron Microscopy Data Bank,keyword
British Association of Dermatologists Biologic and Immunomodulators Register,BADBIR,http://www.badbir.org/,4060,10.25504/FAIRsharing.122388,"British Association of Dermatologists Biologic and Immunomodulators Register (BADBIR) is a clinical study to monitor the long-term safety of drugs used to treat psoriasis.
",ready,repository,Ireland; United Kingdom,2011,,,"University of Manchester, UK",University,General contact,badbir@manchester.ac.uk,controlled,controlled,,,,,,,publication; questionnaire/survey; dataset,Clinical Studies; Dermatology; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Observations; Psoriasis,10.1111/j.1365-2133.2012.10835.x,,british association of dermatologists biologic and immunomodulators register,badbir,badbir.org,True,url,British Association of Dermatologists Biologic and Immunomodulators Register,keyword
COVID-19 CVD Registry,,https://www.heart.org/en/professional/quality-improvement/covid-19-cvd-registry,3244,10.25504/FAIRsharing.dmgSOV,"As physicians, scientists and researchers worldwide struggle to understand the novel coronavirus (COVID-19) pandemic, the American Heart Association (AHA) is developing a novel registry to aggregate data and aid research on the disease, treatment protocols and risk factors tied to adverse cardiovascular outcomes.",ready,repository,United States,2020,,,"American Heart Association, USA",Consortium,General contact,qualityresearch@heart.org,controlled,controlled,,American Heart Association Copyright Notice; American Heart Association Privacy Policy,https://www.heart.org/en/about-us/statements-and-policies/copyright; http://www.heart.org/HEARTORG/General/Privacy-Policy_UCM_300371_Article.jsp,,,,document; dataset,Clinical Studies; Epidemiology; Health Science; Cardiology; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Observations,,,covid-19 cvd registry,,heart.org,True,url,American Heart Association COVID-19 Cardiovascular Disease Registry,keyword
COVID-19 Data Index,,https://www.covid19dataindex.org,3285,10.25504/FAIRsharing.d7831e,"The COVID-19 Data Index collects and indexes COVID-19 datasets from major data repositories, publications, and individual online sources. Diverse types of datasets, including clinical, epidemiological, imaging, omics, socio-demographic, environment, and transportation data are being generated on a daily basis in response to the COVID-19 pandemic, and the goal of the COVID-19 Data Index is to make these datasets easily findable and reusable for researchers.",ready,repository,United States,2020,"National Science Foundation (NSF), USA; University of Texas Health Science Center (UTHealth), Houston, TX, USA",Government body; University,"School of Biomedical Informatics (SBMI), University of Texas Health Science Center (UTHealth), Houston, TX, USA; Department of Biomedical Informatics (DBMI), University of California at San Diego (UCSD) Health, La Jolla, CA, USA",University,,firat.tiryaki@uth.tmc.edu,open,open,,,,,,,dataset,Virology; Omics; Biomedical Science; Clinical Studies; Epidemiology; Social Science; Medical Virology,COVID-19,,,covid-19 data index,,covid19dataindex.org,True,url,COVID-19 Data Index,keyword
COVID-19 Data Portal,,https://www.covid19dataportal.org,2934,10.25504/FAIRsharing.f3b7a9,"The COVID-19 Data Portal enables researchers to upload, access and analyse COVID-19 related reference data and specialist datasets. The aim of the COVID-19 Data Portal is to facilitate data sharing and analysis, and to accelerate coronavirus research. The portal includes relevant datasets submitted to EMBL-EBI as well as other major centres for biomedical data. The COVID-19 Data Portal is the primary entry point into the functions of a wider project, the European COVID-19 Data Platform.",ready,repository,European Union,2020,European Commission Horizon 2020,Government body,"EOSC-Life; ELIXIR Europe; European Commission; European Bioinformatics Institute, Wellcome Genome Campus",Government body; Research institute; Consortium,European COVID-19 Data Platform,ecovid19@ebi.ac.uk,open,open,,EMBL-EBI Terms of Use,http://www.ebi.ac.uk/about/terms-of-use,,,https://www.re3data.org/repository/r3d100013292,dataset,Virology; Biomedical Science; Epidemiology; Data Integration,COVID-19,,,covid-19 data portal,,covid19dataportal.org,True,url,European Molecular Biology Laboratory-European Bioinformatics Institute European COVID-19 Data Portal,keyword
COVID-19 Data Portal Spain,,https://www.covid19dataportal.es/,4065,10.25504/FAIRsharing.d7a442,"The Spanish COVID-19 Data Portal provides information, guidelines, tools and services to support researchers in utilising Spanish and European infrastructures for data sharing, in particular the European COVID-19 Data Portal. For those interested in ongoing, large research projects in Spain there is a list of projects funded by major funding agencies. It is updated at intervals with new services, tools and data.
",ready,knowledgebase,Spain,2020,"ELIXIR Europe; Barcelona Supercomputing Center (BSC), Barcelona, Spain; Institute of Health Carlos III",Government body; Research institute,"Barcelona Supercomputing Center (BSC), Barcelona, Spain",Government body,General contact,covid19-dataportal@bsc.es,open,controlled,,Barcelona Supercomputing Center Legal Notice,https://www.bsc.es/legal-notice,,,,publication; dataset,Virology; Genomics,COVID-19,,,covid-19 data portal spain,,covid19dataportal.es,True,url,COVID-19 Data Portal Spain,keyword
