name,additional_name,re3_id,url,description,contact_email,year_created,subjects,content_types,keywords,data_license_name,data_license_url,institution_name1,institution_country1,institution_responsibility_type1,institution_type1,institution_name2,institution_country2,institution_responsibility_type2,institution_type2,institution_name3,institution_country3,institution_responsibility_type3,institution_type3,institution_name4,institution_country4,institution_responsibility_type4,institution_type4,institution_name5,institution_country5,institution_responsibility_type5,institution_type5,institution_name6,institution_country6,institution_responsibility_type6,institution_type6,institution_name7,institution_country7,institution_responsibility_type7,institution_type7,institution_name8,institution_country8,institution_responsibility_type8,institution_type8,institution_name9,institution_country9,institution_responsibility_type9,institution_type9,institution_name10,institution_country10,institution_responsibility_type10,institution_type10,institution_name11,institution_country11,institution_responsibility_type11,institution_type11
Gene Expression Omnibus,GEO,r3d100010283,https://www.ncbi.nlm.nih.gov/geo/,Gene Expression Omnibus: a public functional genomics data repository supporting MIAME-compliant data submissions. Array- and sequence-based data are accepted. Tools are provided to help users query and download experiments and curated gene expression profiles.,geo@ncbi.nlm.nih.gov,2002,Life Sciences; Basic Biological and Medical Research; General Genetics; Biology,Archived data; Images; Plain text; Scientific and statistical data formats; Structured text,COVID-19; Gene Expression; Genetic Regulation; Genomics Data,Copyrights,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,National Center for Biotechnology Information,USA,general,non-profit,"National Institutes of Health, U.S. National Library of Medicine",USA,general,non-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada's Michael Smith Genome Sciences Centre,GSC,r3d100010449,https://www.bcgsc.ca/,"We are a leading international centre for genomics and bioinformatics research. Our mandate is to advance knowledge about cancer and other diseases, to improve human health through disease prevention, diagnosis and therapeutic approaches, and to realize the social and economic benefits of genomics research.",https://www.bcgsc.ca/contact-us,1999-01-01,"Life Sciences; Basic Biological and Medical Research; Microbiology, Virology and Immunology; Medicine; Epidemiology, Medical Biometry, Medical Informatics; Biology; Medicine",Images; Scientific and statistical data formats; Standard office documents,Atlantic salmon; COVID-19; SARS Coronavirus; bioinformatics; bovine; cancer; clinical research; epidemiology; gene therapy; genomics; health; lymphoma; poplar; spruce; wine grapes,CC,https://creativecommons.org/licenses/by/2.5/,"BC Cancer Agency, Canada's Michael Smith Genome Sciences Centre",CAN,general,non-profit,BC Cancer Foundation,CAN,funding,non-profit,"Canadian Epigenetics, Environment and Health Research Consortium",CAN,funding,non-profit,Canadian Institutes of Health Research,CAN,funding,non-profit,Cancer Research Society,CAN,funding,non-profit,Michael Smith Foundation for Health Research,CAN,funding,non-profit,National Institutes of Health,USA,funding,non-profit,Natural Sciences and Engineering Research Council of Canada,CAN,funding,non-profit,Prostate Cancer Canada,CAN,funding,non-profit,Western Economic Diversification Canada,CAN,funding,non-profit,,,,
UniProtKB,UniProtKnowledgebase,r3d100011521,https://www.uniprot.org/uniprotkb/,"The UniProt Knowledgebase (UniProtKB) is the central hub for the collection of functional information on proteins, with accurate, consistent and rich annotation. In addition to capturing the core data mandatory for each UniProtKB entry (mainly, the amino acid sequence, protein name or description, taxonomic data and citation information), as much annotation information as possible is added. This includes widely accepted biological ontologies, classifications and cross-references, and clear indications of the quality of annotation in the form of evidence attribution of experimental and computational data. The Universal Protein Resource (UniProt) is a comprehensive resource for protein sequence and annotation data. The UniProt databases are the UniProt Knowledgebase (UniProtKB), the UniProt Reference Clusters (UniRef), and the UniProt Archive (UniParc). The UniProt Metagenomic and Environmental Sequences (UniMES) database is a repository specifically developed for metagenomic and environmental data. The UniProt Knowledgebase,is an expertly and richly curated protein database, consisting of two sections called UniProtKB/Swiss-Prot and UniProtKB/TrEMBL.",https://www.uniprot.org/contact,,Life Sciences; Basic Biological and Medical Research; Biochemistry; Bioinformatics and Theoretical Biology; Medicine; Pathology and Forensic Medicine; Biology; Medicine,Raw data; Scientific and statistical data formats; Structured text,COVID-19; biology; cellular component; disease; molecular function; proteomics; sequences; spectrometry,CC,https://creativecommons.org/licenses/by/4.0/,British Heart Foundation,GBR,funding,non-profit,"European Molecular Biology Laboratory, European Bioinformatics Institute",EEC,general,non-profit,National Science Foundation,USA,funding,non-profit,Parkinson's UK,GBR,funding,non-profit,Protein Information Resource,USA,general,non-profit,"State Secretariat for Education, Research and Innovation",CHE,funding,non-profit,Swiss Institute of Bioinformatics,CHE,general,non-profit,"U.S. Department of Health and Human Services, National Institutes of Health",USA,funding,non-profit,,,,,,,,,,,,
International Neuroimaging Data-sharing Initiative,INDI,r3d100011555,https://fcon_1000.projects.nitrc.org/,INDI was formed as a next generation FCP effort. INDI aims to provide a model for the broader imaging community while simultaneously creating a public dataset capable of dwarfing those that most groups could obtain individually.,Michael.Milham@childmind.org,2009-12-11,Life Sciences; Neurosciences; Cognitive Neuroscience and Neuroimaging; Medicine,Archived data; Raw data; Scientific and statistical data formats; Software applications; Structured text,COVID-19; mental health; neuroimaging,Copyrights,https://www.nitrc.org/include/copyright.php,Child Mind Institute,USA,general,non-profit,Neuroimaging Informatics Tools and Resources Clearinghouse,USA,technical,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LabKey Open Research Portal,formerly: Zika Open-Research Portal,r3d100012059,https://openresearch.labkey.com/project/home/begin.view,"In response to emerging pathogens, LabKey launched the Open Research Portal in 2016 to help facilitate collaborative research. It was initially created as a platform for investigators to make Zika research data, commentary and results publicly available in real-time. It now includes other viruses like SARS-CoV-2 where there is a compelling need for real-time data sharing.
Projects are freely available to researchers. If you are interested in sharing real-time data through the portal, please contact LabKey to get started.",https://www.labkey.com/about/contact/,2016,"Life Sciences; Basic Biological and Medical Research; General Genetics; Microbiology, Virology and Immunology; Virology; Biology; Medicine",Images; Raw data; Scientific and statistical data formats; Standard office documents; Structured graphics; other,ZEST; fetal abnormities; microcephaly; nonhuman primate model; zika virus,Public Domain,https://openresearch.labkey.com/project/home/begin.view?,Labkey,USA,technical,non-profit,National Institutes of Health,USA,funding,non-profit,University of Washington,USA,general,non-profit,"University of Wisconsin-Madison, O'Connor Lab",USA,general,non-profit,"University of Wisconsin-Madison, Wisconsin National Primate Research Center",USA,funding,non-profit,,,,,,,,,,,,,,,,,,,,,,,,
SARS-CoV-2 Data Hub,NCBI SARS-CoV,r3d100012192,"https://www.ncbi.nlm.nih.gov/labs/virus/vssi/#/virus?SeqType_s=Nucleotide&VirusLineage_ss=Severe%20acute%20respiratory%20syndrome-related%20coronavirus,%20taxid:694009","This Web resource provides data and information relevant to SARS coronavirus. It includes links to the most recent sequence data and publications, to other SARS related resources, and a pre-computed alignment of genome sequences from various isolates. 
In order to provide free and easy access to genome and protein sequences and associated metadata from the SARS-CoV-2, we created a dedicated Severe acute respiratory syndrome coronavirus 2 data hub.
You can access the Results Table on SARS-CoV-2 data hub, by pressing ""RefSeq genomes"", ""nucleotide"" or ""protein"" links on announcement banner located on NCBI home page, in ""Find data"" navigation menu or using ""Up-to-date SARS-CoV-2"" shortcut button in ""Search by virus"" form. 
SARS-CoV-2 sequences is part of NCBI Virus https://www.re3data.org/repository/r3d100014322",genomes@ncbi.nlm.nih.gov,,"Life Sciences; Microbiology, Virology and Immunology; Biology; Medicine",Databases; Raw data; Scientific and statistical data formats; other,COVID-19; RNA; SARS; genomics; nucleotides; sequences,CC0,https://www.ncbi.nlm.nih.gov/home/about/policies/,National Center for Biotechnology Information,USA,general,non-profit,National Institutes of Health,USA,funding,non-profit,United States National Library of Medicine,USA,general,non-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIPERdb,Virus Particle Explorer database,r3d100012362,https://viperdb.org/,"VIPERdb is a database for icosahedral virus capsid structures . The emphasis of the resource is on providing data from structural and computational analyses on these systems, as well as high quality renderings for visual exploration. In addition, all virus capsids are placed in a single icosahedral orientation convention, facilitating comparison between different structures. The web site includes powerful search utilities , links to other relevant databases, background information on virus capsid structure, and useful database interface tools.",https://viperdb.org/ContactUs.php,,Life Sciences; Medicine; Medicine; Biomedical Technology and Medical Physics; Biomedical Technology and Medical Physics; Medicine; Medicine,Images; Raw data; Scientific and statistical data formats; Software applications; Structured graphics,COVID-19; Phi-Psi diagrams; computational biology; icosahedral virus capsid structures; macromolecular structure; structural virology; virus structure analysis,Copyrights,https://viperdb.org/Copyright.php,NIH Research Resource Center for the Development of Multiscale Modelling Tools for Structural Biology,USA,general,non-profit,The Scripps Research Institute,USA,funding,non-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scholars' Mine,,r3d100012692,https://scholarsmine.mst.edu/,"Scholars' Mine is an online collection of scholarly and creative works produced by the faculty, staff, and students of the Missouri University of Science and Technology.",https://scholarsmine.mst.edu/contact.html,,Humanities and Social Sciences; Life Sciences; Natural Sciences; Engineering Sciences,Audiovisual data; Scientific and statistical data formats; Software applications; Standard office documents; other,COVID-19; multidisciplinary,CC,https://creativecommons.org/licenses/by-nc/4.0/,Missouri University of Science and Technology,USA,general,non-profit,"Missouri University of Science and Technology, Curtis Laws Wilson Library",USA,general,non-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune Epitope Database,IEDB,r3d100012702,https://www.iedb.org/,"IEDB offers easy searching of experimental data characterizing antibody and T cell epitopes studied in humans, non-human primates, and other animal species. Epitopes involved in infectious disease, allergy, autoimmunity, and transplant are included.
The IEDB also hosts tools to assist in the prediction and analysis of B cell and T cell epitopes.",https://help.iedb.org/hc/en-us/requests/new,2004,"Life Sciences; Basic Biological and Medical Research; Biochemistry; Microbiology, Virology and Immunology; Immunology; Biology; Medicine",Archived data; Raw data; Software applications; Standard office documents,COVID-19; allergenes; alloantigenes; autoimmune diseases; immune epotopes; immunology; infectious diseases; major histocompatibility complex MHC; pathogens; transplant,Copyrights,https://www.iedb.org/terms_of_use_v3.php,La Jolla Institute for Allergy and Immunology,USA,technical,non-profit,National Institute of Allergy and Infectious Disease,USA,funding,non-profit,National Institutes of Health,USA,funding,non-profit,United States Department of Health and Human Services,USA,funding,non-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Spectrometry Interactive Virtual Environment,MassIVE,r3d100012858,https://massive.ucsd.edu/ProteoSAFe/static/massive.jsp,"MassIVE is a community resource developed by the NIH-funded Center for Computational Mass Spectrometry to promote the global, free exchange of mass spectrometry data. MassIVE datasets can be assigned ProteomeXchange accessions to satisfy publication requirements.",ccms-web@cs.ucsd.edu,,Life Sciences; Basic Biological and Medical Research; Biochemistry; Biology,Raw data; Scientific and statistical data formats; Software applications; Standard office documents,COVID-19; CoronaMassKB; biochemical methods; bioinformatics; peptide; protein; proteomics,CC,https://creativecommons.org/publicdomain/zero/1.0/,National Institutes of Health,USA,funding,non-profit,UC San Diego,USA,general,non-profit,"University of California, Computer Science and Engineering, Center for Computational Mass Spectrometry",USA,technical,non-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
