cord_uid,doi,sha,pdf_json_files,pmc_json_files,title,trigger_terms,appositive_phrases
02opdk0m,10.1093/nar/gkp278,b411e12b20d883ef2ee5ca19d48eff9fccedf05f,document_parses/pdf_json/b411e12b20d883ef2ee5ca19d48eff9fccedf05f.json,document_parses/pmc_json/PMC2703908.xml.json,CVTree update: a newly designed phylogenetic study platform using composition vectors and whole genomes,platform,CVTree update: a newly designed phylogenetic study platform
b66bb2ri,10.1093/nar/gkq1013,f7c0f747be302193f876a3d3ddf1e14098090e75,document_parses/pdf_json/f7c0f747be302193f876a3d3ddf1e14098090e75.json,document_parses/pmc_json/PMC3013642.xml.json,PhEVER: a database for the global exploration of virus–host evolutionary relationships,database,PhEVER: a database
ppzxvykb,10.1093/nar/gkr1064,2a17719f2c1d211a651060441bda8bc1c052e2aa,document_parses/pdf_json/2a17719f2c1d211a651060441bda8bc1c052e2aa.json,document_parses/pmc_json/PMC3245074.xml.json,ELM—the database of eukaryotic linear motifs,database,ELM—the database
s50g754b,10.3390/s120201648,7b00b9f04112c671d8c31227d31b3fea7ca10c7e,document_parses/pdf_json/7b00b9f04112c671d8c31227d31b3fea7ca10c7e.json,document_parses/pmc_json/PMC3304132.xml.json,Protein Reporter Bioassay Systems for the Phenotypic Screening of Candidate Drugs: A Mouse Platform for Anti-Aging Drug Screening,Platform,Protein Reporter Bioassay Systems for the Phenotypic Screening of Candidate Drugs: A Mouse Platform
nebf6u0z,10.1371/journal.pone.0042972,bf0e3ed6e8fa4adbfacbf76e9fa2f5aa1ccdef19,document_parses/pdf_json/bf0e3ed6e8fa4adbfacbf76e9fa2f5aa1ccdef19.json,document_parses/pmc_json/PMC3434151.xml.json,The VNTR Polymorphism of the DC-SIGNR Gene and Susceptibility to HIV-1 Infection: A Meta-Analysis,Meta-Analysis,The VNTR Polymorphism of the DC-SIGNR Gene and Susceptibility to HIV-1 Infection: A Meta-Analysis
d65r6q69,10.7555/jbr.28.20130162,22212b4c01be73b039da9396b7d20fb4a3429cb5,document_parses/pdf_json/22212b4c01be73b039da9396b7d20fb4a3429cb5.json,document_parses/pmc_json/PMC4250527.xml.json,"Associations of IFN-γ rs2430561 T/A, IL28B rs12979860 C/T and ERα rs2077647 T/C polymorphisms with outcomes of hepatitis B virus infection: a meta-analysis",meta-analysis,T/C polymorphisms with outcomes of hepatitis B virus infection: a meta-analysis
hmgmsviu,10.1093/nar/gkw1030,1c3abd60f3deefb350c36d0f51ba2ae27eff56b5,document_parses/pdf_json/1c3abd60f3deefb350c36d0f51ba2ae27eff56b5.json,document_parses/pmc_json/PMC5210529.xml.json,IMG/VR: a database of cultured and uncultured DNA Viruses and retroviruses,database,IMG/VR: a database
m9hmv8c8,10.1186/s13018-018-0836-8,6ccce7b6fb9a213959f56ae465bb75ad130d6c9a,document_parses/pdf_json/6ccce7b6fb9a213959f56ae465bb75ad130d6c9a.json,document_parses/pmc_json/PMC6031173.xml.json,Accuracy of MRI diagnosis of early osteonecrosis of the femoral head: a meta-analysis and systematic review,meta-analysis,Accuracy of MRI diagnosis of early osteonecrosis of the femoral head: a meta-analysis
p3gytbcr,10.1097/md.0000000000011876,5e93750f999d2d9a74e43f51d61de527957e8502,document_parses/pdf_json/5e93750f999d2d9a74e43f51d61de527957e8502.json,document_parses/pmc_json/PMC6155963.xml.json,The association between transforming growth factor beta1 polymorphism and susceptibility to pulmonary fibrosis: A meta-analysis (MOOSE compliant),meta-analysis,The association between transforming growth factor beta1 polymorphism and susceptibility to pulmonary fibrosis: A meta-analysis
hp8psl4s,10.3389/fphys.2018.01684,a69fd3fb91451692a0d45c306bd5c8c7dbc9debd,document_parses/pdf_json/a69fd3fb91451692a0d45c306bd5c8c7dbc9debd.json,document_parses/pmc_json/PMC6287043.xml.json,Lipid Transporter Activity-Related Genetic Polymorphisms Are Associated With Steroid-Induced Osteonecrosis of the Femoral Head: An Updated Meta-Analysis Based on the GRADE Guidelines,Meta-Analysis,-Related Genetic Polymorphisms Are Associated With Steroid-Induced Osteonecrosis of the Femoral Head: An Updated Meta-Analysis
a04veokb,10.1017/s0950268818002832,b03c7f6241f74f5934ebec0287004bf9ff784922,document_parses/pdf_json/b03c7f6241f74f5934ebec0287004bf9ff784922.json,document_parses/pmc_json/PMC6518565.xml.json,Association between rs12252 and influenza susceptibility and severity: an updated meta-analysis,meta-analysis,Association between rs12252 and influenza susceptibility and severity: an updated meta-analysis
bbupvms3,10.1186/s12931-020-1287-4,0aabcea32d4be54d0ebb50b8702ae26091b4b771,document_parses/pdf_json/0aabcea32d4be54d0ebb50b8702ae26091b4b771.json,document_parses/pmc_json/PMC6958940.xml.json,Neuromuscular blocking agents for acute respiratory distress syndrome: an updated meta-analysis of randomized controlled trials,meta-analysis,Neuromuscular blocking agents for acute respiratory distress syndrome: an updated meta-analysis
hceyy9w7,10.1186/s13054-020-2765-2,d6383dad32d5b375938a5adede9d482aa5174e98,document_parses/pdf_json/d6383dad32d5b375938a5adede9d482aa5174e98.json,document_parses/pmc_json/PMC7027110.xml.json,Validation of neuromuscular blocking agent use in acute respiratory distress syndrome: a meta-analysis of randomized trials,meta-analysis,Validation of neuromuscular blocking agent use in acute respiratory distress syndrome: a meta-analysis
8akovfxy,10.1038/s41430-019-0552-4,e279e7ca3a3617b831928ad657401d783d38ca07,document_parses/pdf_json/e279e7ca3a3617b831928ad657401d783d38ca07.json,document_parses/pmc_json/PMC7222151.xml.json,"Effects of oropharyngeal administration of colostrum on the incidence of necrotizing enterocolitis, late-onset sepsis, and death in preterm infants: a meta-analysis of RCTs",meta-analysis,"Effects of oropharyngeal administration of colostrum on the incidence of necrotizing enterocolitis, late-onset sepsis, and death in preterm infants: a meta-analysis"
090yk40o,10.1038/s41430-019-0522-x,96ef14616a3f711692c24b2702e491ef5ae67b91,document_parses/pdf_json/96ef14616a3f711692c24b2702e491ef5ae67b91.json,document_parses/pmc_json/PMC7222868.xml.json,Continuous feeding versus intermittent bolus feeding for premature infants with low birth weight: a meta-analysis of randomized controlled trials,meta-analysis,Continuous feeding versus intermittent bolus feeding for premature infants with low birth weight: a meta-analysis
0keb0wkn,10.1007/s12671-020-01342-5,3261807d62d9f13ad1cbf0f53336ba857ba7913a,document_parses/pdf_json/3261807d62d9f13ad1cbf0f53336ba857ba7913a.json,document_parses/pmc_json/PMC7223423.xml.json,Effects of Mindfulness-Based Interventions on Self-compassion in Health Care Professionals: a Meta-analysis,Meta-analysis,Effects of Mindfulness-Based Interventions on Self-compassion in Health Care Professionals: a Meta-analysis
ot7es8zd,10.1007/s12028-019-00773-w,a79135fc22955a78f8756c6cbb78764e72d0d640,document_parses/pdf_json/a79135fc22955a78f8756c6cbb78764e72d0d640.json,document_parses/pmc_json/PMC7223912.xml.json,"Incidence, Risk Factors, and Outcomes of Ventilator-Associated Pneumonia in Traumatic Brain Injury: A Meta-analysis",Meta-analysis,"Incidence, Risk Factors, and Outcomes of Ventilator-Associated Pneumonia in Traumatic Brain Injury: A Meta-analysis"
